exp2/qos1_512b40ms_2.csv: 1488/1488, 2.91 ms
exp2/qos1_512b40ms_3.csv: 1488/1488, 2.65 ms
exp2/qos1_512b60ms_1.csv: 995/995, 2.77 ms
exp2/qos1_512b60ms_2.csv: 995/995, 2.72 ms
exp2/qos1_512b60ms_3.csv: 995/995, 2.70 ms
exp2/qos1_512b80ms_1.csv: 748/748, 2.74 ms
exp2/qos1_512b80ms_2.csv: 747/747, 2.74 ms
exp2/qos1_512b80ms_3.csv: 748/748, 2.82 ms
exp2/qos1_512b100ms_1.csv: 599/599, 2.79 ms
exp2/qos1_512b100ms_2.csv: 599/599, 2.76 ms
exp2/qos1_512b100ms_3.csv: 599/599, 2.76 ms
exp2/qos1_512b1000ms_1.csv: 61/61, 2.79 ms
exp2/qos1_512b1000ms_2.csv: 61/61, 2.82 ms
exp2/qos1_512b1000ms_3.csv: 61/61, 2.87 ms
exp2/qos1_512b3000ms_1.csv: 21/21, 2.76 ms
exp2/qos1_512b3000ms_2.csv: 21/21, 2.00 ms
exp2/qos1_512b3000ms_3.csv: 21/21, 2.48 ms
exp2/qos1_512b5000ms_1.csv: 13/13, 2.46 ms
exp2/qos1_512b5000ms_2.csv: 13/13, 2.54 ms
exp2/qos1_512b5000ms_3.csv: 13/13, 2.54 ms
exp2/qos2_512b0ms_1.csv: 49345/49345, 1.09 ms
exp2/qos2_512b0ms_2.csv: 49092/49092, 1.14 ms
exp2/qos2_512b0ms_3.csv: 49356/49356, 1.02 ms
exp2/qos2_512b10ms_1.csv: 5753/5753, 2.07 ms
exp2/qos2_512b10ms_2.csv: 5743/5743, 2.01 ms
exp2/qos2_512b10ms_3.csv: 5744/5744, 1.99 ms
exp2/qos2_512b20ms_1.csv: 2929/2929, 2.28 ms
exp2/qos2_512b20ms_2.csv: 2929/2929, 2.29 ms
exp2/qos2_512b20ms_3.csv: 2930/2930, 2.40 ms
exp2/qos2_512b40ms_1.csv: 1482/1482, 2.44 ms
exp2/qos2_512b40ms_2.csv: 1482/1482, 2.75 ms
exp2/qos2_512b40ms_3.csv: 1482/1482, 2.48 ms
exp2/qos2_512b60ms_1.csv: 992/992, 2.60 ms
exp2/qos2_512b60ms_2.csv: 992/992, 2.61 ms
